<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BTSX.BTC/USD,60,20210104,090000,33336.7600000,33390.8000000,32884.2000000,32884.5500000,118
BTSX.BTC/USD,60,20210104,100000,32910.3500000,33468.4600000,32889.6600000,33280.0600000,298
BTSX.BTC/USD,60,20210104,110000,33279.4100000,33300.0000000,31748.1800000,32092.7100000,1192
BTSX.BTC/USD,60,20210104,120000,32111.7700000,32557.9000000,31407.3400000,32044.4100000,655
BTSX.BTC/USD,60,20210104,130000,32026.2300000,32100.0000000,30261.1300000,31000.0000000,1728
BTSX.BTC/USD,60,20210104,140000,31009.3900000,31182.1600000,27734.0000000,30270.0000000,3703
BTSX.BTC/USD,60,20210104,150000,30286.7600000,30921.4800000,29402.5500000,30796.3400000,1423
BTSX.BTC/USD,60,20210104,160000,30796.4800000,31463.0000000,30461.8500000,31268.3300000,903
BTSX.BTC/USD,60,20210104,170000,31243.7300000,31433.0000000,30600.5000000,31433.0000000,785
BTSX.BTC/USD,60,20210104,180000,31433.0000000,32169.7800000,31433.0000000,32144.4300000,749
BTSX.BTC/USD,60,20210104,190000,32147.2500000,32246.9700000,31581.0400000,31792.0500000,625
BTSX.BTC/USD,60,20210104,200000,31785.8500000,31939.1200000,30700.0000000,31298.7500000,903
BTSX.BTC/USD,60,20210104,210000,31340.0300000,31527.4400000,30600.0100000,31004.5400000,597
BTSX.BTC/USD,60,20210104,220000,31016.4400000,31448.0000000,31000.5800000,31172.4100000,267
BTSX.BTC/USD,60,20210104,230000,31179.5000000,31887.5800000,31118.6900000,31678.6200000,333
BTSX.BTC/USD,60,20210105,000000,31686.8300000,31862.6100000,31219.6800000,31259.3700000,284
BTSX.BTC/USD,60,20210105,010000,31285.8000000,31596.2400000,30884.4200000,31025.3900000,221
BTSX.BTC/USD,60,20210105,020000,31047.6200000,31490.0000000,30974.3700000,31360.2300000,164
